protocol,method,method_type,modality,runs_or_unit,accuracy,weighted_f1,macro_f1,balanced_or_parent,role_caveat,source_artifact
PBMC 3P donor-disjoint L3,MOSAIC,Proposed,RNA+ADT,8 donors; 3 seeds,0.9119,0.9108,0.8072,0.8085,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MLP early fusion,Matched neural baseline,RNA+ADT,8 donors; 3 seeds,0.9091,0.9068,0.7923,0.7796,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MOSAIC without HSR,Ablation,RNA+ADT,8 donors; 3 seeds,0.9135,0.9121,0.8097,0.8067,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,MOSAIC without KD,Ablation,RNA+ADT,8 donors; 3 seeds,0.9134,0.9121,0.8110,0.8079,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,RNA branch,Same-checkpoint branch,RNA-only,8 donors; 3 seeds,0.8894,0.8882,0.7564,0.7652,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,ADT branch,Same-checkpoint branch,ADT-only,8 donors; 3 seeds,0.8360,0.8364,0.6661,0.6876,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Fusion branch,Same-checkpoint branch,RNA+ADT,8 donors; 3 seeds,0.9100,0.9092,0.8059,0.8118,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Uniform fusion,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9130,0.9118,0.8114,0.8129,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Learned margin gate,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9119,0.9107,0.8077,0.8096,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,Learned margin gate + HSR,Same-checkpoint policy,RNA+ADT,8 donors; 3 seeds,0.9119,0.9108,0.8072,0.8085,Primary donor-disjoint protocol; donor is statistical unit.,results/tables/mosaic_n_v33_donor_method_summary_2026-07-23.csv
PBMC 3P donor-disjoint L3,RNA ridge,Classic baseline,RNA-only,8 donors; train cap 500/class,0.8042,0.8136,0.6460,0.7271,Train-capped donor-disjoint linear baseline; full held-out donor evaluation; V33 train-only preprocessing cache; no test-label tuning.,results/exp_baseline_matrix/v34_pbmc_donor_lightweight_baselines/results_summary.csv
PBMC 3P donor-disjoint L3,ADT ridge,Classic baseline,ADT-only,8 donors; train cap 500/class,0.7530,0.7566,0.5027,0.6430,Train-capped donor-disjoint linear baseline; full held-out donor evaluation; V33 train-only preprocessing cache; no test-label tuning.,results/exp_baseline_matrix/v34_pbmc_donor_lightweight_baselines/results_summary.csv
PBMC 3P donor-disjoint L3,Early-fusion ridge,Classic baseline,RNA+ADT,8 donors; train cap 500/class,0.8306,0.8362,0.6785,0.7538,Train-capped donor-disjoint linear baseline; full held-out donor evaluation; V33 train-only preprocessing cache; no test-label tuning.,results/exp_baseline_matrix/v34_pbmc_donor_lightweight_baselines/results_summary.csv
PBMC strict L3 historical baseline matrix,MOSAIC,Proposed historical,RNA+ADT,4 run(s),0.9210,0.9202,0.8497,--,"PBMC strict L3 closed-set, four seeds; final calibration-style HSR architecture.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,MLP early fusion,Engineering baseline,RNA+ADT engineered,1 run(s),0.9123,0.9105,0.8129,--,not_published_single_cell_method,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scANVI,Published baseline,RNA-only,1 run(s),0.8907,0.8882,0.7729,--,same_protocol_published_baseline_below_v13_macro,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,CellTypist,Published baseline,RNA-only,1 run(s),0.8724,0.8661,0.6930,--,RNA-only method; external run excludes unmapped labels.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scNym,Published baseline,RNA-only,1 run(s),0.8570,0.8504,0.6543,--,"PBMC strict row is medium 20k run; external row is full 69,999 train-cell run.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,totalVI,Published/completed baseline,RNA+ADT,1 run(s),0.8100,0.8251,0.6916,0.7699,"Full strict PBMC L3 multimodal totalVI latent-readout, single seed; latent classifier rather than end-to-end fine-tuned annotator.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,popV,Published/completed baseline,RNA-only,3 run(s),0.7777,0.7815,0.6477,0.6752,Full strict PBMC L3 RNA-only reference-query baseline across 3 seeds; not multimodal.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scClassify,Published/completed baseline,RNA-only hierarchy,1 run(s),0.6820,0.6879,0.6552,0.6820,Medium 20-class/internal-node candidate; useful for breadth but not a full 58-class main comparator.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scmap,Published/completed baseline,RNA-only,1 run(s),0.5482,0.5932,0.3698,0.4551,Full strict PBMC L3 5k/5k/5k-style reference projection baseline; weak but protocol-comparable classic method.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scPred,Published/completed baseline,RNA-only,1 run(s),0.4471,0.3787,0.4199,0.4835,"Large 57/58 eligible-class subset, single seed; weak fine-label performance and not full strict 100k.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scPoli,Published/completed baseline,RNA reference mapping,1 run(s),0.3899,0.4112,0.2249,0.3001,"Full strict PBMC L3 RNA-only scPoli run, single seed; current reproduction is weak and should be caveated.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,RNA logistic,Classic baseline,RNA-only,1 run(s),0.8779,0.8769,0.7529,0.7341,PBMC strict L3 RNA-only logistic baseline; train-only selected genes from the strict feature manifest; CPM log1p normalization and train-only StandardScaler; no test-label tuning.,results/exp_baseline_matrix/v25_pbmc_strict_rna_logistic_seed42/results_summary.csv
COVID full 51-class,MOSAIC,Proposed,RNA+ADT,main_ready,0.8656,0.8620,0.6655,0.6508,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,MOSAIC,Proposed,RNA+ADT,main_ready,0.8644,0.8618,0.6946,0.6762,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,MLP early fusion,Matched neural baseline,RNA+ADT,main_ready,0.8597,0.8552,0.6551,0.6372,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,MLP early fusion,Matched neural baseline,RNA+ADT,main_ready,0.8599,0.8573,0.6526,0.6405,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,RNA logistic,Classic baseline,RNA-only,main_ready,0.8133,0.8188,0.6688,0.7203,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,RNA logistic,Classic baseline,RNA-only,main_ready,0.8311,0.8318,0.6110,0.6158,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,CellTypist,Published baseline,RNA-only,main_ready,0.8215,0.8123,0.5600,0.5291,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,CellTypist,Published baseline,RNA-only,main_ready,0.8273,0.8206,0.5780,0.5465,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,scANVI,Published baseline,RNA-only,main_ready,0.8313,0.8222,0.5325,0.5316,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,scANVI,Published baseline,RNA-only,main_ready,0.8573,0.8530,0.6287,0.6103,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,totalVI,Published baseline,RNA+ADT latent readout,main_ready,0.7169,0.7285,0.4500,0.5254,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,totalVI,Published baseline,RNA+ADT latent readout,main_ready,0.7853,0.7939,0.5702,0.6316,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COVID full 51-class,scNym,Published baseline,RNA-only,main_ready,0.8426,0.8368,0.6219,0.6087,"Full 647,366-cell COVID-19 CITE-seq closed-set protocol; point estimates from the V25 wide performance table.",results/tables/v25_main_wide_performance_table_2026-06-15.csv
GSE164378 exact-L3,scNym,Published baseline,RNA-only,main_ready,0.8443,0.8369,0.6096,0.5852,GSE164378 exact-L3 external protocol; point estimates from the V25 wide performance table.,results/tables/v25_main_wide_performance_table_2026-06-15.csv
COMBAT/COVID disease-shift parent-safe,MOSAIC,Proposed,RNA+ADT reliability-gated,3 external subsets,0.9651,0.9732,0.7822,0.9651,Parent-safe COMBAT/COVID external disease-shift benchmark; not PBMC strict L3 fine-label SOTA; DCRG preserves RNA-safe parent accuracy while using ADT on a subset.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,CellTypist,Published baseline,RNA-only,3 external subsets,0.9314,0.9360,0.7528,0.9314,"Published RNA-only baseline under matched parent-safe protocol, three 10k external subsets.",output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,RNA logistic,Classic baseline,RNA-only,3 external subsets,0.9295,0.9451,0.7597,0.9295,"Classic engineering RNA-only baseline; useful for parent-safe disease-shift comparison, not a published single-cell method.",output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,ADT logistic,Classic baseline,ADT-only,3 external subsets,0.9079,0.9107,0.7054,0.9079,Classic engineering ADT-only baseline; diagnostic for protein panel contribution.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,Early-fusion logistic,Classic baseline,RNA+ADT early fusion,3 external subsets,0.9010,0.9092,0.7353,0.9010,Classic engineering RNA+ADT early-fusion baseline; diagnostic multimodal baseline.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,scANVI,Published baseline,RNA-only,3 external subsets,0.9755,0.9757,0.7631,0.9755,COMBAT/COVID parent-safe disease-shift scANVI baseline; PBMC strict L3 train labels only; COMBAT cells are included as unlabeled query cells and COMBAT labels are evaluation-only; three 10k external subsets; RNA-only with batch-aware scVI/scANVI latent model.,results/exp_baseline_matrix/v25_combat_parent_safe_scanvi_s41_s42_s43/results_summary.csv
COMBAT/COVID disease-shift parent-safe,scNym,Published baseline,RNA-only,3 external subsets,0.9784,0.9785,0.8220,0.9784,COMBAT/COVID parent-safe disease-shift scNym baseline; PBMC strict L3 train labels only; COMBAT labels are evaluation-only; three 10k external subsets; RNA-only scNym with minimal torchvision.transforms.Compose compatibility stub.,results/exp_baseline_matrix/v25_combat_parent_safe_scnym_s41_s42_s43/results_summary.csv
COMBAT/COVID disease-shift parent-safe,totalVI,Published baseline,RNA+ADT latent readout,3 external subsets,0.6200,0.6960,0.4524,0.6200,COMBAT/COVID parent-safe disease-shift totalVI latent-readout baseline; PBMC strict L3 train/val labels only; shared PBMC-COMBAT RNA genes and frozen shared ADT marker pairs; COMBAT labels evaluation-only; three 10k external subsets; validation-selected L3 latent readout mapped to parent labels.,results/exp_baseline_matrix/v25_combat_parent_safe_totalvi_s41_s42_s43/results_summary.csv
PDC101 sorted external holdout,MOSAIC,Proposed,RNA+ADT,seed Student-t,0.9077,0.9068,0.9007,0.9004,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_comparison_2026-07-23.csv
PDC101 sorted external holdout,MMoCHi,Published hierarchy baseline,RNA+ADT,cell bootstrap; conditional on one workflow,0.9347,0.9335,0.9298,0.9290,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_comparison_2026-07-23.csv
PDC101 sorted external holdout,RNA logistic,Classic baseline,RNA-only,seed 42,0.6935,0.6941,0.6703,0.6693,PDC101 locked sorted external holdout; train+validation non-holdout cells used for fitting; RNA features and no-HTO/no-control ADT features reused from the MOSAIC V33 cache; holdout labels evaluation-only.,results/exp_baseline_matrix/v34_pdc101_lightweight_baselines/results_summary.csv
PDC101 sorted external holdout,ADT logistic,Classic baseline,ADT-only,seed 42,0.9199,0.9200,0.9153,0.9168,PDC101 locked sorted external holdout; train+validation non-holdout cells used for fitting; RNA features and no-HTO/no-control ADT features reused from the MOSAIC V33 cache; holdout labels evaluation-only.,results/exp_baseline_matrix/v34_pdc101_lightweight_baselines/results_summary.csv
PDC101 sorted external holdout,Early-fusion logistic,Classic baseline,RNA+ADT,seed 42,0.8980,0.8979,0.8907,0.8902,PDC101 locked sorted external holdout; train+validation non-holdout cells used for fitting; RNA features and no-HTO/no-control ADT features reused from the MOSAIC V33 cache; holdout labels evaluation-only.,results/exp_baseline_matrix/v34_pdc101_lightweight_baselines/results_summary.csv
PDC101 sorted external holdout,MLP early fusion,Matched neural baseline,RNA+ADT,seed 42,0.8775,0.8773,0.8689,0.8676,PDC101 locked sorted external holdout; train+validation non-holdout cells used for fitting; RNA features and no-HTO/no-control ADT features reused from the MOSAIC V33 cache; holdout labels evaluation-only.,results/exp_baseline_matrix/v34_pdc101_lightweight_baselines/results_summary.csv
PDC101 sorted external holdout,CellTypist,Published baseline,RNA-only,seed 42,0.6983,0.6983,0.6761,0.6748,PDC101 locked sorted external holdout; CellTypist trained on train+validation non-holdout cells using the same train-selected RNA genes as the MOSAIC V33 cache; holdout labels evaluation-only.,results/exp_baseline_matrix/v34_pdc101_lightweight_baselines/results_summary.csv
