reference,comparator,metric,n_donors,mean_difference,difference_ci95_low,difference_ci95_high,difference_ci95_margin,paired_t_pvalue,wilcoxon_pvalue,positive_donor_count,negative_donor_count,zero_donor_count,reference_label,comparator_label,statistical_unit,protocol,caveat,source_artifact
mosaic_full,mlp,accuracy,8,0.002868583852888,-0.0001402456544452,0.0058774133602213,0.0030088295073333,0.0588146487399748,0.0546875,7,1,0,MOSAIC full,MLP early fusion,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mlp,weighted_f1,8,0.0039578925478358,0.0012794370654614,0.0066363480302102,0.0026784554823743,0.0100721194277469,0.015625,7,1,0,MOSAIC full,MLP early fusion,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mlp,macro_f1,8,0.0148489795633681,0.0091439088742125,0.0205540502525237,0.0057050706891556,0.0004654510199138,0.0078125,8,0,0,MOSAIC full,MLP early fusion,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mlp,balanced_accuracy,8,0.0288282491369904,0.0208191570279702,0.0368373412460106,0.0080090921090202,6.124194154810625e-05,0.0078125,8,0,0,MOSAIC full,MLP early fusion,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_hsr,accuracy,8,-0.0015924302229234,-0.0031074938375533,-7.736660829349776e-05,0.0015150636146299,0.0418792709875888,0.0390625,2,6,0,MOSAIC full,MOSAIC without HSR,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_hsr,weighted_f1,8,-0.0013323298951474,-0.0027799794202985,0.0001153196300036,0.001447649525151,0.0660043084778736,0.0390625,1,7,0,MOSAIC full,MOSAIC without HSR,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_hsr,macro_f1,8,-0.0025024562567931,-0.0049302012982197,-7.471121536652787e-05,0.0024277450414266,0.0449304735203701,0.0390625,1,7,0,MOSAIC full,MOSAIC without HSR,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_hsr,balanced_accuracy,8,0.0018003350119439,-0.0028595335353022,0.00646020355919,0.0046598685472461,0.3913227818431012,0.3125,6,2,0,MOSAIC full,MOSAIC without HSR,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_kd,accuracy,8,-0.0014848937188565,-0.0026326681378357,-0.0003371192998773,0.0011477744189792,0.0183453288467136,0.015625,1,7,0,MOSAIC full,MOSAIC without KD,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
mosaic_full,mosaic_no_kd,weighted_f1,8,-0.0013769488195827,-0.0026003739790659,-0.0001535236600995,0.0012234251594832,0.0324034578005218,0.0390625,1,7,0,MOSAIC full,MOSAIC without KD,paired held-out donor,PBMC nested leave-one-donor-out,Paired t intervals are primary; Wilcoxon p-values are a sensitivity analysis over the same eight donors without multiplicity claims.,results/tables/mosaic_n_v33_paired_donor_statistics_2026-07-23.csv
